symbol	alias
PSMD8	HEL-S-91n
GABARAPL1	ATG8L
WIPF2	WIRE
CCDC40	CILD15
RPL31P23	RPL31_5_407
ZNF804A	C2orf10
RFLNB	FAM101B
TDG	hTDG
ABCB4	ICP3
PPARGC1A	PPARGC1
RNU1-4	U1F
HUWE1	LASU1
SNORA2A	ACA2A
RNF165	RNF111L2
TRD-GTC2-11	TRNAD17
ERICH6	ERICH6A
NCK1	NCK
ST14	SNC19
KIAA1109	Tweek
CHMP5	HSPC177
PEX10	PBD6A
PPIF	CypD
ALX1	HEL23
PRNP	PrP27-30
PAGE3	GAGED1
TRIM4	RNF87
P2RY12	P2Y12
KCNC1	KV4
REG1A	PTP
GCNA	ACRC
GLO1	HEL-S-74
CLCF1	BSF-3
RPL19P13	RPL19_8_875
GAPDHP68	GAPDL13
RNA5SP452	RN5S452
SPINT1	HAI
PPP2R2B	PR55BETA
GAPDHP64	GAPDL9
COX8A	COX8-2
MXD4	MST149
CREB3L4	CREB3
NEIL2	NEI2
LSM2	snRNP
CCM2	OSM
FOXE1	FKHL15
ZNF763	ZNF440L
PDCL3	VIAF1
GOLIM4	P138
VPS29	PEP11
OR8B1P	OR11-561
SLC44A4	NG22
NFXL1	URCC5
ANKRD20A8P	ANKRD20B
CHMP5	PNAS-2
PCDHB13	PCDH-BETA13
ZBED1P1	ZBED1P
SERPINF1	EPC-1
SOHLH1	C9orf157
BICDL2	BICDR-2
PRRX1	PRX1
TPRA1	GPR175
A1BG-AS1	A1BG-AS
RPS29P9	RPS29_6_317
IL12RB1	CD212
THOC6	WDR58
DTX3L	BBAP
OR13H1	ORX1
SLC22A7	OAT2
PLEKHA5	PEPP-2
EI24	PIG8
RPL21P38	RPL21_7_292
ZNF746	PARIS
ERVW-1	ERVWE1
DLGAP1	DAP-1-BETA
SLC25A37	MFRN1
GYS1	GSY
DEDD	DEDD1
RNA5SP68	RN5S68
DUSP1	PTPN10
RTCB	FAAP
ZNF326	ZAN75
GABPA	NRF2A
SLC25A28	NPD016
CSTB	PME
PAK3	bPAK
UGT2B4	UGT2B11
CENPX	D9
SSXP4	SSX10
TNIP2	ABIN2
GOLGA8CP	GOLGA8C
MIR3173	mir-3173
TRIM39	TRIM39B
LRIG3	LIG3
RPL15	DBA12
SPANXB1	SPANXF2
KDM1B	AOF1
MYH7	MPD1
MORC2	ZCW3
TRGV2	TCRGV2
CRYBB1	CTRCT17
POU4F1	brn-3A
TAZ	Taz1
COX7B	LSDMCA2
GTPBP4	NOG1
UBE2J1	UBC6
ST6GALNAC5	ST6GalNAcV
B3GLCT	B3GTL
OMD	OSAD
EXPH5	SLAC2-B
MARK2	EMK1
RPS28P9	RPS28_5_1524
APOBEC3H	A3H
CD151	GP27
MIR675	MIRN675
TAS2R40	T2R58
PTCHD1-AS	DDX53-AS1
LINC00305	NCRNA00305
PHF21A	BM-006
MIR4429	mir-4429
NACA	HSD48
CASP10	ALPS2
TRBV26OR9-2	TCRBV28S2
TNFRSF10D	TRUNDD
MIR198	MIRN198
PDZK1	PDZD1
GLYATL3	bA28H17.2
HSPD1P7	HSPDP7
LSM14A	C19orf13
LILRB2	CD85D
SAT1	DC21
PBK	CT84
RPL6P7	RPL6_7_423
GLCCI1	TSSN1
LYN	p53Lyn
RPL21P18	RPL21_46_1252
TXNDC15	C5orf14
ITGB2	MAC-1
HLA-C	HLA-JY3
SRD5A3	CDG1Q
TUBB4B	Beta2
TWNK	SANDO
FGR	p58c-fgr
POLDIP2	PDIP38
ELOA2	TCEB3L
RPS3P3	RPS3_1_443
SLC6A4	HTT
RPL13AP25	S863-4
MYCBPAP	AMAP-1
SPATA16	NYD-SP12
ZC3H10	ZC3HDC10
LGMNP1	LGMN2P
TCEAL2	MY0876G05
SMYD1	ZMYND22
SPIN2B	dJ323P24.2
KRT71	K6IRS1
GSR	HEL-S-122m
NR0B1	SRXY2
WNT3	INT4
TPI1P1	RCTPI1
CCNO	CCNU
ZNF540	Nbla10512
RNU7-33P	U7.33
F3	TFA
GATA1	XLTT
HPCAL1	HLP2
VEGFC	Flt4-L
RPL5P28	RPL5_11_1110
STK16	PSK
GPLD1	GPIPLD
HNRNPC	SNRPC
MIR99A	mir-99a
B9D1	MKSR1
ASCL3	HASH3
CCL5	TCP228
CCSAP	CSAP
ASIC3	DRASIC
TTK	ESK
COA1	C7orf44
MXI1	bHLHc11
OR1J2	OST044
SNHG6	HBII-276HG
IGHV3-30-3	IGHV3303
MIR1234	MIRN1234
PPM1K	PP2Cm
TAGLN	SM22
LINC01228	lincRNA-DYNLRB2-2
IGHV3-32	IGHV332
SEC14L3	TAP2
TRIM54	RNF30
RPS20P17	RPS20_9_642
MIR6753	hsa-mir-6753
GABPB1	GABPB
CRISPLD2	CRISP11
GAPDHP73	GAPDL19
GCH1	DYT5
EIF4A3	NUK34
NEUROG3	ngn3
ACO2	ICRD
MGA	MAD5
RPL31P42	RPL31_13_966
PEX26	Pex26pM1T
SMG7-AS1	DKFZP564C196
IFIT2	ISG54
DMPK	DMK
MOGAT3	DGAT2L2
MTMR3	FYVE-DSP1
IPO7	RANBP7
COL17A1	BP180
DLG5	P-DLG5
ADCY10	SAC
GFM2	RRF2mt
CISD1P1	ZCD1B
DUSP22	LMW-DSP2
UQCRB	QPC
CCNA2	CCNA
KIF6	dJ137F1.4
MIR432	mir-432
GABPA	RCH04A07
CCND1	U21B31
SCARNA16	ACA47
FDPSP1	FPSL1
ENPP1	PDNP1
SOX9	SRXY10
ABCC8	PHHI
DMBT1	SAG
NR1I2	SXR
WBSCR17	GALNT16
MIR124-1	MIR124A1
CFAP52	WDR16
WT2	MTACR1
RPS3AP19	RPS3A_8_458
ENO1P1	ENO1P
BTN3A2	BTN3.2
RPL35P5	RPL35_4_812
IGKJ4	J4
XAGE3	PLAC6
TRAV5	TCRAV5S1
PCLAF	OEATC1
MIR6863	hsa-mir-6863
KIAA0907	BLOM7
TSEN54	sen54
KITLG	DCUA
DUS3L	DUS3
HRH4	AXOR35
MRPL17	MRP-L26
SNTN	S100AL
AA06	AA04
ABCB1	MDR1
IL17RD	HH18
ACSL6	FACL6
DNM1P40	DNM1DN11@
PLAT	TPA
DDX20	DP103
MRPL12	MRPL7/L12
UBE2J1	HSPC153
KAT14	ATAC2
COPS9	CSNAP
ZNF256	BMZF3
NMNAT3	PNAT-3
KRT74	HYPT3
GTF2H5	TGF2H5
TTLL10	TTLL5
MSR1	SRA
ZNF394	ZKSCAN14
FAM193B	IRIZIO
IGLJ	IGLJ@
SRRM1P1	SRRM1P
SLC35F4	c14_5373
WDR82	MST107
SDHAP3	SDHACL
NGFR	CD271
PFKP	PFK-P
SYNE2	NUANCE
SMARCB1	RTPS1
SLC24A1	NCKX1
KDM2A	LILINA
PRRC2B	KIAA0515
ERICH5	C8orf47
ATP2B2	PMCA2
RBCK1	ZRANB4
PCGF5	RNF159
UBQLN4P1	UBQLN4P
HEMC	HCI
VSTM1	SIRL1
CLU	CLI
TRV-AAC3-1	HtV2
SLC22A16	OKB1
COL4A6	DFNX6
EHHADH	ECHD
ALKBH5	OFOXD1
WFIKKN1	RJD2
RXFP3	RXFPR3
KRTAP10-4	KRTAP10.4
OR8C1P	OR912-106
CDK5R1	p35nck5a
TAOK1	TAO1
KCNQ2	HNSPC
INSRR	IRR
OR7C2	OR19-18
RBP3	D10S65
MCM3AP-AS1	C21orf85
OR4A17P	OR4A22P
BAMBI	NMA
PNMA2	MA2
MIR708	hsa-mir-708
SYNDIG1	TMEM90B
REXO1L1P	GOR
BFSP2	CP47
HOXD3	HOX1D
IGSF11	Igsf13
MMP7	MMP-7
PIPSL	PIP5K1P3
MIR203A	MIR203
CDK5R2	P39
OLFM3	NOELIN3
ARX	MRX33
RAB11FIP1	rab11-FIP1
MOCOS	HMCS
SCFD1	STXBP1L2
SYBU	GOLSYN
SCLC1	SCCL
PEX11A	PEX11-ALPHA
GDF15	NAG-1
CBX1	HP1-BETA
AKAP2	AKAP-2
DUSP13	BEDP
FAM220A	C7orf70
HMGN2P1	HMGN2L1
MAZ	SAF-2
FAM205BP	FAM205B
MIR515-2	MIRN515-2
CTB-41I6.1	CTB-41I6.2
OR5D16	OR11-154
UPF3B	MRXS14
ABCD3	ABC43
SPTB	SPH2
SRSF12	SFRS13B
ZNF204P	b24o18.1
GMIP	ARHGAP46
LYPLA1	APT-1
EDNRB	ET-BR
SYNGAP1	SYNGAP
RPS27P20	RPS27_11_1188
LCE3B	LEP14
PRSS42	TESSP2
MRAS	RRAS3
RNU7-4P	RNU7-132P
TTTY5	TTY5
CXCL14	BMAC
MIR8057	hsa-mir-8057
RPL32P14	RPL32_5_546
SKP1P1	TCEB1P
MMP28	MMP-28
AP2A1	CLAPA1
LCTL	KLG
SP9	ZNF990
TSGA10	CEP4L
GPI	PHI
MAP3K11	SPRK
ACTG1	HEL-176
CAPRIN2	RNG140
CRLF3	FRWS
ASB10	GLC1F
CDK15	ALS2CR7
SLC18A2	SVMT
DNLZ	TIMM15
APELA	Ende
MCHR2	SLT
MAPK8IP3	JSAP1
HGF	DFNB39
FABP3P2	FABP3P
QKI	QK1
MSMB	MSP
RPL17P17	RPL17_9_379
HEMGN	NDR
CNKSR1	CNK
TRPM2	TRPC7
DPH1	OVCA1
GMPR2	GMPR 2
PPIAP9	PPIP9
DACT1	THYEX3
IGLV3-13	V2-9P
DDX6P1	DDX6-Lp
PRELID3A	SLMO1
REEP6	RP77
RSPH3	CILD32
IGLL1	IGO
DUSP22	MKPX
WDR76	CDW14
KRTAP10-2	KAP10.2
BPIFA1	SPLUNC1
VSIR	C10orf54
RPS6KA6	p90RSK6
SMARCA1	SNF2L
LILRB2	ILT-4
CLCA2	CaCC-3
MAP3K12	ZPKP1
ETS1	ETS-1
SNORD3D	RNU3-4
TEX38	THEG4
SIT1	SIT
CDC42EP4	BORG4
GOLGA6L2	CT105
FAM25C	bA164N7.4
DCAF13	HSPC064
RPS2P41	RPS2_16_1278
MAP2	MAP2C
MIR1913	MIRN1913
UTS2	UCN2
SH2D1A	EBVS
SSMEM1	C7orf45
CCR2	CCR2A
SPATA20	SSP411
PHKG1	PHKG
SIK2	QIK
PLEKHF1	PHAFIN1
BMS1P6	BMS1P2
VWF	F8VWF
COG5	GOLTC1
MIR196B	miR-196b
ACKR2	CCBP2
MAP2K4	MEK4
ST6GAL2	SIAT2
MAGEA11	CT1.11
KCNMA1	SLO1
ASAP1-IT1	ASAP1IT
RAC1P2	Psi2Rac1
ELOVL3	CIG-30
MIR1537	MIRN1537
TRAPPC5	TRS31
C20orf181	dJ824A14.1
LINC00887	HEIRCC
RIOX2	NO52
YAE1D1	GK003
RNU7-69P	U7.69
LINC00268-2P	NCRNA00268B
API5	AAC-11
RNA5SP476	RN5S476
IGKV2OR2-8	IGKV2/OR2-8
MYBPC2	MYBPC
SIM1	bHLHe14
YARS	YTS
CHRM3	HM3
PPP1R12A	MBS
OGG1	MUTM
TEAD2	ETF
HPGDS	GSTS
CDK14	PFTK1
ATXN1	D6S504E
RIC1	KIAA1432
NCK1-AS1	SLC35G2-AS1
RPS12P28	RPS12_14_1532
FA2H	FAH1
NCAPD3	CAPD3
MIR7-1	MIRN7-1
ELAVL1	HUR
ZNF280B	ZNF279
TMPO	LAP2
ITGA5	FNRA
MED12	HOPA
KCNJ5	GIRK4
NRG1	NDF
S100PBP	S100PBPR
MAPT	MTBT1
MAVS	IPS-1
CADM1	BL2
CXCL10	gIP-10
MSX1	ECTD3
EIF4ENIF1	Clast4
LPCAT3	nessy
CRYBB2	CRYB2
HECA	HDC
RNA5SP521	RN5S521
VTRNA1-1	VAULTRC1
OR5AN1	OR11-244
ZNRD1	TCTEX6
RRAS2	TC21
HTATSF1	TAT-SF1
KNL1	CT29
CHM	HSD-32
CTSH	ACC4
KRTAP3-1	KRTAP3.1
REEP3	C10orf74
GATA2	NFE1B
CDKN2B-AS1	p15AS
MIR320C2	mir-320c-2
OR1J2	OR1J3
APEH	D3F15S2
UGT1A12P	UGT1L
RPS6KA3	p90-RSK2
GHITM	MICS1
VANGL2	LPP1
HSPA8	HSPA10
USMG5	bA792D24.4
TNNT1	NEM5
CHCHD4	MIA40
PRRC2CP1	BAT2L2P1
RPL29P30	RPL29_20_1448
CTSLP4	bA564C4.3
OPN1MW3	GOP
BCR	ALL
TRE-CTC7-1	TRNAE36P
MIR7848	hsa-mir-7848
OR8G2	ORL486
HMG20A	HMGXB1
ADGRG2	CBAVDX
STX2	EPM
OR4H6P	OR4H3P
RNA18SP2	RN18S2P
OFD1P16Y	OFD1PY16
EIF2AK1	HCR
MAPK8IP3	JIP-3
CCL13	NCC-1
YIF1A	54TM
SBDSP1	SBDSP
RNF165	ARKL2
PNP	NP
RNA5SP490	RN5S490
WIPF1	WIP
HSD17B1	HSD17
SLC40A1	SLC11A3
RPL39P27	RPL39_13_1220
AQR	fSAP164
MIR519D	MIRN519D
SYT2	CMS7
APBA1	D9S411E
MAPRE2	EB2
NELFE	RDP
TAF1	DYT3/TAF1
WBSCR17	GALNT20
DNAJC14	DNAJ
RPL17P4	RPL17_23_1411
OR7E28P	OST128
NFIL3	IL3BP1
UBE4B	UBOX3
CACNA2D1	lncRNA-N3
PPP1R3A	PP1G
TRR-CCG1-1	TRNAR24
LINC00334	C21orf89
CUX1	GOLIM6
RPL7P32	RPL7P
GATA2	MONOMAC
LY6G6C	C6orf24
FIG4	KIAA0274
TMEM11	C17orf35
LPSA	D19S381E
GLIS3	ZNF515
RWDD4	FAM28A
TRBV12-5	TRBV125
GLE1	LCCS
CNGA1	RCNCalpha
LMF1	TMEM112
AP1S2	PGS
FTSJ1	JM23
COL9A2	STL5
SNORD115-3	HBII-52-3
PEMT	PEAMT
ITGA3	MSK18
GALNT15	PIH5
ITGA2B	CD41
DDOST	CDG1R
MARK3	PAR1A
AMY1A	AMY1
RNA5SP468	RN5S468
COL11A2	PARP
TELO2	TEL2
SAMD4B	SMGB
TKT	HEL-S-48
SGPL1	SPL
EPRS	QARS
OR1L1	OR9-27
MIR4999	mir-4999
GJD3	Cx30.2
EXO5	hExo5
BMPR1B	AMDD
C1orf52	gm117
SNRPD2P1	bA478K7.1
KRTAP29-1	KAP29.2
C4B	CPAMD3
ARL15	ARFRP2
MRPL30	MRPL28M
BCS1L	GRACILE
CCNE1	CCNE
PAPOLB	TPAP
MOCS3P1	MOCS3P
FAM138A	F379
PLGLA	PLGP2
RND2	RhoN
TRGV5	V1S5
MIR187	miR-187
OPA1	BERHS
DOCK10	DRIP2
CLCN4	MRX49
LMAN1	FMFD1
CYTH2	PSCD2
TYW1	RSAFD1
SAR1A	masra2
FXYD2	ATP1G1
CRHR1	CRHR
MRGPRX1	MGRG2
PRELID3BP2	SLMO2P2
SYNE1	8B
TRR-ACG1-1	TRR-ACG1-2
FECD5	FCD3
NDST1	MRT46
BOK	BCL2L9
RNA5SP329	RN5S329
SPINK1	TATI
ABCD4	MAHCJ
TNFRSF10C	TRAILR3
FBXW11	BTRC2
RNU1-2	U1C21
KRT76	HUMCYT2A
C21orf91	YG81
ANLN	FSGS8
TUT1	URLC6
ALG13	MDS031
SLC38A1	ATA1
TTI1	smg-10
RGPD1	RGP1
OR2J1	OR2J1P
RCC1	RCC1-I
GDF1	DTGA3
HIST1H3F	H3/i
ACTG1P3	ACTGP3
SLC30A9	GAC63
RPS19P1	bA189K21.7
TENM4	Ten-M4
AHSA2	AHA1
MIR509-1	mir-509-1
TRE-TTC6-1	TRNAE32P
RBM8A	ZRNP1
GREM2	CKTSF1B2
WASIR2	NCRNA00286A
HNF4A-AS1	uc002xlx
SCN1A	GEFSP2
CARD18	ICEBERG
DBH-AS1	NCRNA00118
CD83	BL11
ARHGEF11	PDZ-RHOGEF
MYC	MRTL
CDH22	C20orf25
KCNJ13	KIR7.1
CDRT15P1	CDRT15P
PPT2	PPT-2
MIR6807	hsa-mir-6807
OR5AR1	OR11-209
PTPRS	R-PTP-sigma
CLEC9A	DNGR1
OR1E3	OR1E3P
CES2	PCE-2
UHRF1	huNp95
ZNF32-AS1	ZNF32OS1
TRR-TCT5-1	TRNAR5
CTR9	p150
KRT6B	KRTL1
TUSC3	D8S1992
SLC16A3	MCT 3
VN1R10P	b24o18.2
TNFAIP8L3	TIPE3
TEX28P2	pTEX
KCNMB3	KCNMBL
HIST1H3E	H3.1
SERPINB8P1	PI8L1
MAP2K6	MAPKK6
C8orf17	MOST-1
KLK7	PRSS6
ASCL2	HASH2
PDX1	STF-1
OR4C4P	OR4C47P
RNU1-4	RNU1
SPG20	TAHCCP1
TUBB	TUBB1
IRF6	PIT
RPLP0	P0
DHRS13	SDR7C5
DNAJC14	HDJ3
RAP1AP	SMGP21A
DPH1	DEDSSH
GFPT1	MSLG
CSTL1	dJ322G13.4
CSAG1	CSAGE
RPL13AP5	bA196N24.2
TRP-TGG3-4	TRNAP21
IGLV2-11	IGLV211
RPL29P2	RPL29_10_1510
SLC16A12	CJMG
ZFP42	zfp-42
DSG3	PVA
ZC3H12D	dJ281H8.1
SDHA	PGL5
OR10G8	OR11-282
PLEKHD1	UPF0639
CDH8	Nbla04261
CFI	ARMD13
ZC3H13	KIAA0853
PATZ1	ZNF278
MAFA-AS1	TCONS_00014882
LINC00165	C21orf135
SGSH	HSS
GPBP1	VASCULIN
TRIT1	GRO1
SNORA48	SNORA48A
ARHGAP35	p190RhoGAP
SAE1	UBLE1A
RPL7AP49	RPL7A_16_980
SAMHD1	HDDC1
CXCL11	SCYB11
IGLV2-23	IGLV223
MPP6	PALS2
PLP1	PLP
TPSD1	MCP7-LIKE
RPS11P4	RPS11_2_972
MICU1	MPXPS
MIR2277	mir-2277
ZNF133	ZNF150
SLC17A8	VGLUT3
SLC17A7	BNPI
N4BP2L1	CG018
PNKP	EIEE10
LINC00475	C9orf44
CFHR1	H36-2
CD177	NB1
DLEU2	TRIM13OS
RND1	RHOS
PREX1	P-REX1
SAE1	HSPC140
CHTOP	SRAG-3
TRQ-CTG9-1	TRNAQ51P
NEFL	CMT1F
XKR3	XTES
PAQR7	PGLP
TRT-CGT2-1	TRNAT6
RPS19	S19
SCFD1	C14orf163
SNRPB	CCMS
RPS4XP2	dJ189G13.2
ASIC2	BNC1
OPRL1	ORL1
TCOF1	TCS1
FAM175A	ABRA1
MIR520H	MIRN520H
EEF1B2P3	EEF1B4
NMTRQ-TTG4-1	TRNAQ42P
SPRR1A	SPRK
RNA5SP365	RN5S365
MCRS1	INO80Q
ITGAD	ADB2
CD2	LFA-2
VWA1	WARP
IGKV1-35	IGKV135
CLEC12A	MICL
DRAM1	DRAM
RNA5SP349	RN5S349
UBE2V1P1	dJ687F11.3
ACSL1	ACS1
HLA-C	HLC-C
MIR1292	MIRN1292
ZNF24	ZNF191
CDC7	CDC7L1
NEK8	JCK
ABHD13	C13orf6
ADO	C10orf22
TBC1D3P3	USP6P1
CTSA	NGBE
BCRP2	BCR2
SHH	SMMCI
NDUFA9P1	dJ106I20.2
CYP2C115P	CYP2C9-de1b
MCM5	P1-CDC46
MYO1A	MIHC
ATF2	CRE-BP1
LCMT2	TYW4
MTSS1L	ABBA1
DGKA	DAGK
NTHL1	OCTS3
NCOA2	TIF2
NSUN6	NOPD1
FBXO31	MRT45
EBLN1	EBLN-1
TTTY4B	NCRNA00124
FABP6	I-BAP
ANKS4B	HARP
FKBP1A	FKBP-1A
MUC5B	MG1
CENPJ	LAP
MGAT4B	GNT-IVB
EXOSC7	RRP42
SLC15A3	PHT2
RFWD2	COP1
CYCSP46	HCP46
EYS	dJ22I17.2
HMGN2P46	C15orf21
USP9YP6	CDY24P
LINC01108	LncRNA-ES1
TSHR	CHNG1
TIMM44	TIM44
DBN1	D0S117E
RIT1	RIBB
AGAP10P	bA358L16.1
ZNF182	KOX14
TFP1	TFP
APELA	ELA
ZNF124	HZF-16
MANBA	MANB1
MDK	ARAP
RB1	pRb
CASP3	CPP32B
ZFYVE9	PPP1R173
SLC9A2	NHE2
CROCCP3	dJ798A10.2
SRPX2	PMGX
ACKR1	GpFy
PDE10A	PDE10A19
TSKU	TSK
TRAV8-4	TRAV84
ZBTB38	PPP1R171
SYCE2	CESC1
MIR3177	mir-3177
CALD1	HCAD
ISCA1	ISA1
LLGL2	LGL2
GM2A	GM2-AP
KCNC4	KSHIIIC
TCN1	TC-1
RPSAP56	RPSA_23_1496
CD48	BLAST
MFAP2	MAGP1
CT47A12	CT47
OR3A4P	OR24
DCAF12L1	KIAA1892L
XPNPEP1	XPNPEP
KLC1	KNS2A
GNPDA1	GNPDA
ZNF737	ZNF102
GSG2	HASPIN
TAS2R2P	T2R02
GBA3	GLUC
IGHV3-15	VH
ABCC10	SIMRP7
HHEX	HMPH
HSD17B3	SDR12C2
IGF2R	MPR300
NTRK1	p140-TrkA
ABCB6	MTABC3
IGHVIII-51-1	IGHVIII511
INPP5F	MSTPO47
AURKB	AIK2
NSL1	MIS14
YIPF1	DJ167A19.1
MRPL38	RPML3
EFNB1	EPLG2
MIEN1	C17orf37
HIST1H2BC	dJ221C16.3
PTPRU	PTPU2
CSH1	hCS-1
RPL7AP14	dJ823N20.2
CASK	CMG
TRG-CCC3-1	TRNAG26
RNA5SP477	RN5S477
GUCY2F	GUC2F
STX10	SYN10
SYT11	sytXI
PRM2	CT94.2
MRPL57P3	MRP63P3
RAC1	Rac-1
TRERF1	TReP-132
SPN	CD43
OR2F1	OR7-140
TMEM176A	GS188
KRT8	CK8
CCKAR	CCKRA
RYBP	APAP-1
MIR1271	hsa-mir-1271
TXNDC12	ERP19
MED30	MED30S
CDCA2	Repo-Man
SLC2A6	HSA011372
MOB1B	MATS2
TNFSF15	TNLG1B
ACOT6	C14orf42
RRM2	RR2
GRIK3	GluR7a
TSHB	TSH-BETA
SORL1	C11orf32
VSIG2	CTXL
FBXO31	Fbx31
POLR1C	TCS3
GBP5	GBP-5
MIRLET7C	LET7C
REEP5	YOP1
MRPL41	RPML27
CCDC88C	KIAA1509
SPINK4	HEL136
SCN8A	BFIS5
ZNF106	ZNF474
RRM1	RIR1
SERPINB11	SERPIN11
POTEA	POTE8
FAM129B	MINERVA
SNUPN	RNUT1
RPL36AP42	RPL36A_18_1363
EDA2R	XEDAR
TCF3	ITF1
IRGQ	FKSG27
RPL13P11	RPL13_3_914
SLC25A15	D13S327
KMT5A	SET07
GPR101	PAGH2
GRM6	mGlu6
SNORD63	U63
TBCD	tfcD
RFXANK	ANKRA1
ALG1	hMat-1
OR7E110P	hg523
COL4A6	CXDELq22.3
PCBD2	DCOHM
RBPJP1	RBPSUHP1
DUPXP11.23P11.22	CXDUPp11.23p11.22
TRQ-CTG1-4	TRNAQ24
RPS19P1	RPS19_3_1688
GPR141	PGR13
VSIR	VISTA
MIR570	MIRN570
IKBKAP	IKAP
LINC00377	TCONS_00021861
KLK5	KLK-L2
LMO7DN	C13orf45
RHAG	RH50A
TCL1B	TML1
FHII	FHA2
KLK1	hK1
HSD17B13	HMFN0376
MYC	MYCC
CDH5	CD144
SHMT2	GLYA
FABP7	B-FABP
SEM1	SHSF1
PDE5A	PDE5
CYB5R1	NQO3A2
KANSL3	Rcd1
GOLT1A	HMFN1187
GALNT18	GALNT15
SLC9B1	NHA1
GPX7	NPGPx
PMS2P1	PMS2L1
DNAJB6	DJ4
TMEM14C	C6orf53
GRIN2D	NR2D
DNAJB6	MSJ-1
TROVE2	SSA2
KDM5A	RBBP-2
PRR4	LPRP
CARMIL2	CARMIL2b
AOX3P	AOH1
HCG4	HCGIV.9
ARL13A	dJ341D10.2
UBTFL1	HMGPI
OR2A9P	OR2A9
DBT	BCATE2
PICALM	CALM
LTBR	D12S370
MED10	NUT2
ITSN1	ITSN
AKAP8L	HA95
IFNG-AS1	Tmevpg1
CHRNE	SCCMS
COL16A1	447AA
GADD45GIP1	PLINP
DNM1P33	DNM1DN7-2
EPHB4	TYRO11
SIRPB2	dJ776F14.2
TRSUP-TTA1-1	TRNASUP1
AKNAD1	C1orf62
SNAI2	SLUG
UBE2L6	UBCH8
C11orf98	C11orf48
LINC00854	TMEM106A-AS1
WASF2	IMD2
CD247	TCRZ
KCNQ4	DFNA2
MS	MS1
MRPL13	L13
SLC24A5	NCKX5
TMEM191A	TMEM191AP
GPLD1	PLD
SLAMF7	CD319
ULK1	UNC51
DLEC1	CFAP81
LDB1	NLI
HSD17B14	retSDR3
TAF9	TAFIID32
SNAI2	SNAIL2
PSMD1	S1
COTL1P1	CLPSMCR
DSC1	CDHF1
CHMP4A	C14orf123
ADAM10	RAK
TGFBR3	betaglycan
ZFPM2	hFOG-2
CCNL1	BM-001
GLUD1	GDH
DHX58	RLR-3
FAM153A	NY-REN-7
LRRC17	P37NB
RGS17	RGSZ2
NFKBIL1	IKBL
CFHR3	CFHL3
CXCR6	BONZO
KDM3A	JHDM2A
ZFP36L1	TIS11B
SNRPD3	Sm-D3
IGKV2OR2-7	IGKV2/OR2-7
PRF1	PFP
RPS3AP21	RPS3A_7_600
CACNA2D1	CACNA2
LDHA	LDHM
SLC14A1	RACH1
COPG1	COPG
GPR79	GPR79P
UNC45B	UNC45
MIR449A	MIRN449A
VAMP2	SYB2
OR1E1	OST547
GPX7	CL683
COL14A1	UND
TERC	SCARNA19
RPL7AP26	RPL7A_8_496
CISD1	ZCD1
NLRP3	CIAS1
MARCH6	MARCH-VI
FBXW11P1	FBXW1BP
RPS8P10	RPS8_6_1418
RMI1	BLAP75
MT1M	MT-1M
MTFR1L	MSTP116
LBP	BPIFD2
TXK	TKL
CD69	BL-AC/P26
ENPP2	ATX-X
ASPN	PLAP1
FGF1	ECGFB
CADM2	SynCAM 2
METRN	C16orf23
GNLY	TLA519
MIR495	MIRN495
CYCSP55	CYCSL1
BMPR1A	CD292
POLH	RAD30A
MYO7A	DFNB2
PIP4K2B	PIP5KIIB
DEFB112	DEFB-12
ACP5	TrATPase
ECD	GCR2
EP300	RSTS2
MYO1D	PPP1R108
NR5A2	FTZ-F1beta
CEP290	JBTS5
NR2F1	ERBAL3
BEST1	RP50
SYT7	IPCA7
SLC17A5	SD
ALKBH1	alkB
MAGED1	DLXIN-1
IGHD3-3	IGHD33
CXXC1	2410002I16Rik
MIR658	MIRN658
RNA5SP34	RN5S34
MNT	bHLHd3
MIS18BP1	C14orf106
SLCO4A1	OATP4A1
SUPT5H	Tat-CT1
PGK2	HEL-S-272
CAMK1G	VWS1
MAP3K11	MEKK11
FBXW10	HREP
EXOSC5	hRrp46p
PAGR1	C16orf53
CENPI	LRPR1
OR4G2P	OR4G7P
CSRNP2	FAM130A1
SLC25A13	CITRIN
CCDC144CP	CCDC144C
NOV	IBP-9
UNC13D	HLH3
PEG3	ZKSCAN22
HS3ST1	3OST
IKZF1	LyF-1
PDZRN4	LNX4
CHMP5	CGI-34
MIR1179	hsa-mir-1179
PRKDC	DNPK1
CYMD	MDDC
PADI3	PAD3
MIR6837	hsa-mir-6837
SMOC2	dJ421D16.1
AURKC	AIE2
FBXO45	Fbx45
PNRC1	PRR2
TBX21	TBET
GTPBP3	COXPD23
PAGE5	PAGE-5
HNRNPU	HNRPU
SOD2	MVCD6
SMAD1	JV41
PRDM16	MEL1
C4orf46	RCDG1
TCF4	bHLHb19
CERS3	LASS3
GART	AIRS
FAM32EP	FAM32E
AWAT2	DC4
AIRN	AIR
PROSC	EPVB6D
KCNJ11	PHHI
TRBV12-3	TCRBV12S3
CXCR4	LESTR
SERPINF2	A2AP
CLDN7	Hs.84359
OR10AD1	OR12-1
SLC24A5	SHEP4
DNAJA2	PRO3015
CBX8	PC3
KATNB1	KAT
MUC1	KL-6
MARCH7	AXO
REC114	C15orf60
PRKDC	XRCC7
CARD8	DAKAR
WRAP73	WDR8
UBA1	GXP1
MIR9-2	mir-9-2
OVAAL	OVAL
